"X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","signed_log10FDR.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","signed_log10FDR.y"
"Acot11",0.812769989297921,0.537028023657454,0.02,0.027,0,0.238483409109447,-1.0759488532333,0,0.027,0
"Acot12",1,0.537028023657455,0,0,0,0.239272455655167,1.50901364748786,0.019,0,0
"Acot13",0.246154833373123,-0.784900071229908,0.059,0.122,0,0.00955643156756761,-2.8129144473995,0,0.122,0
"Acot2",0.870422443628595,-0.010459771645039,0.235,0.216,0,0.532160031198265,0.583014228931635,0.25,0.216,0
"Acot4",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acot6",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acot7",0.0893544402082192,2.12199052437861,0.039,0,0,0.239272455655167,1.50901364748786,0.019,0,0
"Acot8",0.243124930812142,-1.0479344770637,0,0.027,0,0.785566138137467,-0.0759488532332986,0.019,0.027,0
"Acot9",0.798107726235378,-0.047934477063702,0.02,0.027,0,0.238483409109447,-1.0759488532333,0,0.027,0
"Acox1",0.716541506015671,0.022454850827696,0.098,0.122,0,0.580702908155598,0.509013647487858,0.154,0.122,0
"Acox2",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acox3",0.0434509322282011,-1.00354035770525,0.196,0.351,0,0.865868890874213,-0.0986689297333823,0.346,0.351,0
"Acoxl",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acp1",0.450390027753702,-0.380509816150573,0.137,0.189,0,0.392717284336019,-0.578449193762482,0.135,0.189,0
"Acp2",0.0893544402082192,2.12199052437861,0.039,0,0,0.239272455655167,1.50901364748786,0.019,0,0
"Acp5",0.46695848541777,0.322903218304607,0.392,0.338,0,0.433667070559643,-0.261504506389375,0.269,0.338,0
"Acp6",0.474342665938472,-0.462971976342546,0.059,0.095,0,0.456083380644402,-0.490986352512143,0.058,0.095,0
"Acpp",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acr",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acrbp",0.0950007643086226,-1.46297197634255,0.02,0.095,0,0.232838320139816,-0.906023851790986,0.038,0.095,0
"Acrv1",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acsbg1",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acsbg2",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
"Acsf2",0.147157218790955,-0.462971976342545,0.118,0.23,0,0.660813939351934,-0.0759488532332986,0.192,0.23,0
"Acsf3",0.50402180125912,-0.462971976342545,0.039,0.068,0,0.488436593078027,-0.490986352512142,0.038,0.068,0
"Acsl1",0.384200350319866,0.537028023657454,0.078,0.041,0,0.947426030851031,-0.227951946678348,0.038,0.041,0
"Acsl3",0.0893544402082192,3.12199052437861,0.039,0,0,1,0.509013647487858,0,0,0
"Acsl4",0.984822161773453,-0.141043881455184,0.176,0.176,0,0.521190165951275,-0.490986352512143,0.135,0.176,0
"Acsl5",0.266854135747214,0.537028023657454,0.275,0.189,0,0.133896261922333,0.661016740932908,0.308,0.189,0
"Acsl6",1,0.537028023657455,0,0,0,1,0.509013647487858,0,0,0
