"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nrbf2",3.4939052817896e-08,-0.338588315448183,0.151,0.203,0.00112608567232079
"Dpysl4",3.5243466606164e-08,-0.278018849458485,0.267,0.331,0.00113589692871666
"Cfl1",3.57697879123885e-08,-0.229801916877278,0.319,0.391,0.00115286026441628
"Poc5",3.69144521211973e-08,-0.226798830835572,0.313,0.385,0.00118975279186619
"Tfpt",3.70205301390782e-08,-0.253369121036102,0.248,0.314,0.00119317168638249
"Peli3",3.82401282811271e-08,-0.187146682443643,0.519,0.588,0.00123247933450073
"Bloc1s6",3.88232220494564e-08,-0.344244092059637,0.13,0.18,0.00125127244665398
"Tsr2",4.02243583411386e-08,-0.310428862413557,0.256,0.316,0.0012964310693349
"Cops2",4.03287050152689e-08,-0.212009998675156,0.361,0.439,0.00129979416264212
"Cyb5a",4.14187064949335e-08,-0.498080628404808,0.089,0.131,0.00133492491033171
"Neurl1a",4.15286587998325e-08,-0.279002991129786,0.312,0.375,0.0013384686731186
"Rara",4.17669248927659e-08,-0.23259246853605,0.343,0.415,0.00134614798929385
"Ap1ar",4.28258285738698e-08,-0.274141423878819,0.226,0.289,0.00138027645493582
"Thumpd1",4.42970280479783e-08,-0.312871494598829,0.182,0.238,0.00142769321398634
"Sbds",4.4873107284794e-08,-0.257524811117284,0.268,0.334,0.00144626024778891
"Mettl9",4.48998884571752e-08,-0.259930264798504,0.301,0.368,0.00144712340497476
"Cdkn1b",4.6804207631723e-08,-0.194885690301867,0.458,0.533,0.00150849961197043
"Emc6",5.05491887179568e-08,-0.317408812101717,0.166,0.22,0.00162920035237975
"Szrd1",5.2115144208002e-08,-0.229536775531847,0.345,0.418,0.00167967109782391
"Sirt7",5.34031844006295e-08,-0.303998482529483,0.198,0.255,0.00172118463323229
"Pax6",5.35467917730151e-08,-0.888359892345437,0.033,0.06,0.00172581309884428
"Uqcc3",5.55183741693486e-08,-0.185391196078263,0.537,0.613,0.00178935719947811
"Sccpdh",5.65670225167032e-08,-0.304242205894609,0.221,0.28,0.00182315513571334
