"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Accsl",0.002,0,0,0,-2.49183351165808,0.0399592648965613,1,-3.10820510830557,0.0109796949087068,1,-2.92074843311206,0.0171547876249388,1
"Acd",0.017,0.021,0.024,0.025,0.278684642219155,0.399968796331296,1,0.358920902121727,0.112500138699204,1,0.515350681694611,0.0654053194088897,1
"Ace",0,0,0.001,0.002,3.41505708395044,0.399360093624678,1,1.21372298658179,0.335551318426755,1,2.07925156688794,0.104022620027949,1
"Ace2",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,0.0792515668879368,0.467621948241451,1
"Acer1",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Acer2",0,0,0.003,0.005,0.508166488341923,0.399360093624678,1,2.69914981375203,0.0311217651155134,1,3.4715689896667,0.00646827503087496,1
"Acer3",0.032,0.02,0.02,0.024,-0.73510466267044,0.019090818804176,1,-0.523242607584414,0.0135225512882104,1,-0.42117742362155,0.125526125173315,1
"Ache",0,0,0.006,0.01,-0.491833511658077,1,1,3.6466823938579,0.00136964380398135,1,4.4715689896667,4.91946029858855e-05,0.809054440705874
"Acin1",0.065,0.067,0.067,0.087,-0.000847159145934473,0.755716736609338,1,-0.147733472492208,0.83289666997712,1,0.345531632225386,0.00732262994117283,1
"Ackr1",0,0,0.003,0.014,-0.491833511658077,1,1,2.79868548730295,0.02376222361031,1,5.12364568624639,1.2792484183847e-06,0.0210385194887548
"Ackr2",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,0.0792515668879368,0.467621948241451,1
"Ackr3",0.109,0.124,0.131,0.129,0.146528683652589,0.170043263885555,1,0.140065944856483,0.0426067724394788,1,0.155535152150786,0.0561133066015226,1
"Ackr4",0.005,0.004,0.002,0.003,-0.491833511658077,0.643927405979816,1,-1.24570863205551,0.114710905748737,1,-0.795217551028204,0.277873920570356,1
"Acly",0.094,0.113,0.113,0.126,0.254951143538575,0.0618109334281897,1,0.19245436982814,0.0454725991998596,1,0.419362195740373,0.000954122290957681,1
"Acnat1",0.029,0.029,0.031,0.028,-0.0700068467165949,0.990938924523464,1,0.0827376744058244,0.631475345466987,1,-0.10951007656723,0.896277332562753,1
"Aco1",0.213,0.269,0.283,0.252,0.373482871096899,5.76711057515205e-05,0.948459005189506,0.410439495758106,1.42502355812513e-07,0.0023435937436926,0.253352244301443,0.00252347342569361,1
"Aco2",0.108,0.092,0.097,0.088,-0.233521516066686,0.108150868099327,1,-0.180717608089938,0.222376722828516,1,-0.275761161318688,0.0332636224552586,1
"Acod1",0,0.001,0.001,0.001,2.50816648834192,0.233118240491287,1,1.21372298658179,0.335551318426755,1,2.66421406760909,0.304118383374333,1
"Acot1",0.159,0.167,0.161,0.147,0.0565660833530033,0.49800782329989,1,-0.0845714518018359,0.927868555714767,1,-0.217977758829453,0.234756439929347,1
"Acot11",0.088,0.135,0.14,0.125,0.512102902901093,7.54451622824437e-06,0.124077113889707,0.518202110712937,2.27706521319413e-07,0.00374486144961906,0.393274463689954,0.000155969761249967,1
"Acot12",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Acot13",0.155,0.184,0.198,0.172,0.272099130108399,0.015960015921702,1,0.284544323771489,0.000371302480328996,1,0.121719708028395,0.166900750145222,1
"Acot2",0.078,0.091,0.096,0.084,0.22945046027586,0.149629486460981,1,0.263542107990436,0.0363128772625083,1,0.0889667217211492,0.505877273526973,1
"Acot4",0.001,0.001,0.001,0.001,0.245132082508128,0.943404132173215,1,0.306832390973273,0.859127251955441,1,-0.505710933833219,0.798376296606069,1
"Acot6",0.001,0.002,0.002,0.001,0.830094583229284,0.327854458342015,1,0.891794891694429,0.322089775415747,1,0.0792515668879368,0.687571709320022,1
"Acot7",0.167,0.171,0.189,0.163,-0.0457260055499851,0.841321726519178,1,0.109548418227357,0.0733293301140979,1,-0.076809743131466,0.649375282544138,1
"Acot8",0.032,0.031,0.034,0.031,-0.0209427776457156,0.872696957651603,1,0.135720474580518,0.636002883476548,1,-0.0954269645250099,0.830585537947862,1
"Acot9",0,0,0,0,-0.491833511658077,1,1,-1.10820510830557,1,1,-0.920748433112063,1,1
"Acox1",0.324,0.351,0.333,0.334,0.0555582863698099,0.121402283427527,1,-0.071291708230391,0.945417551678192,1,-0.0247203615278413,0.663191531100778,1
"Acox2",0.002,0.001,0.004,0.003,-0.491833511658077,0.674768641253004,1,0.377221718864671,0.265931487369689,1,0.216755090637873,0.486037620446579,1
"Acox3",0.04,0.045,0.046,0.04,0.128752898793801,0.461628206901189,1,0.0776614370057631,0.331256700840023,1,-0.00427178867434552,0.996860865873567,1
"Acoxl",0,0,0,0,-0.491833511658077,1,1,-0.108205108305571,0.496083774404169,1,0.0792515668879368,0.467621948241451,1
"Acp1",0.072,0.067,0.088,0.087,0.00393525973362374,0.552110299025376,1,0.323600604354165,0.0511873654451602,1,0.254931243056057,0.0693654806358693,1
"Acp2",0.119,0.119,0.127,0.117,-0.0183793261539114,0.997274055722635,1,-0.0130478752652303,0.476177631719863,1,-0.0880676112975585,0.770523846734793,1
