"","Control_pct.1","Ivig_pct.1","Eylea_pct.1","Pg101_pct.1","Ivig_avg_log2FC","Ivig_p_val","Ivig_p_val_adj","Eylea_avg_log2FC","Eylea_p_val","Eylea_p_val_adj","Pg101_avg_log2FC","Pg101_p_val","Pg101_p_val_adj"
"Abitram",0.043,0.02,0.038,0.039,-0.750886183985072,0.131658553902772,1,-0.0693614769669182,0.767001416438922,1,-0.0954244669859747,0.775312820057097,1
"Abl1",0.079,0.072,0.07,0.075,0.0109540788201636,0.759666525698281,1,0.000601081200648945,0.691235053808326,1,0.0383845732062187,0.853929774819444,1
"Abl2",0.13,0.143,0.169,0.142,0.212587939989814,0.640106205807413,1,0.334685238393949,0.189927692289108,1,0.00297923707501946,0.695466714195929,1
"Ablim1",0.141,0.143,0.166,0.124,-0.187109013154544,0.989462346911467,1,0.0669944701289338,0.453758978282837,1,-0.369236979647231,0.477082351577619,1
"Ablim2",0.004,0,0.003,0,-0.857801387901584,0.343068417052909,1,-0.17627668088343,0.932959469796681,1,-1.48244759009522,0.238421814811382,1
"Ablim3",0,0,0.003,0,0.142198612098417,1,1,0.823723319116571,0.348583828675758,1,-0.482447590095221,1,1
"Abo",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abr",0.029,0.004,0.022,0.021,-2.17972948278895,0.0274520411667424,1,-0.32827977432848,0.617328173602536,1,-0.634450683540272,0.493304723741203,1
"Abracl",0,0.004,0,0,1.14219861209842,0.29522671927477,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Abraxas1",0.137,0.088,0.109,0.109,-0.616793288397789,0.075809263957395,1,-0.387780786077142,0.286341742134883,1,-0.387290357054882,0.261100894202204,1
"Abraxas2",0.04,0.052,0.077,0.049,0.0490892077069347,0.514780423162871,1,0.578610821280038,0.0604003663507077,1,-0.0901301673164623,0.577480433370818,1
"Abt1",0.043,0.024,0.026,0.016,-0.665156309959188,0.22236104009844,1,-0.813706601498722,0.232406036794339,1,-1.28980251215283,0.0300371885583351,1
"Abtb1",0.13,0.108,0.096,0.121,-0.143203606763832,0.452690651074984,1,-0.417284780387225,0.196203525800578,1,-0.153139964842262,0.740767034489944,1
"Abtb2",0.004,0,0,0,-0.857801387901584,0.343068417052909,1,-1.17627668088343,0.289325957245647,1,-1.48244759009522,0.238421814811382,1
"AC150683.1",0.004,0,0.006,0.003,-0.857801387901584,0.343068417052909,1,0.408685819837726,0.637366037159273,1,0.102514910625934,0.815434198713887,1
"AC151602.1",0,0,0,0,0.142198612098417,1,1,-0.176276680883429,1,1,-0.482447590095221,1,1
"Acaa1a",0.014,0.028,0.054,0.039,0.990195518653366,0.278860030765182,1,1.74972273767279,0.00908568360985557,1,1.19562431501742,0.0641622580523236,1
"Acaa1b",0,0,0,0.003,0.142198612098417,1,1,-0.176276680883429,1,1,0.517552409904779,0.399243489639243,1
"Acaa2",0.022,0.024,0.032,0.036,-0.0504464658439803,0.869061558558666,1,0.408685819837726,0.44555695142581,1,0.68747741134709,0.281576955139633,1
"Acaca",0.336,0.315,0.332,0.336,0.0867034995067129,0.830353764758689,1,0.0265402021162573,0.9927496527769,1,0.084252704233206,0.87760202797698,1
"Acacb",0.036,0.04,0.032,0.008,0.0166677300145572,0.829718210502896,1,-0.17627668088343,0.781689710235522,1,-1.74548199592902,0.00956865068720892,1
"Acad10",0.054,0.06,0.077,0.072,0.0547357708480769,0.789946895645787,1,0.436700196007322,0.274680372955007,1,0.430089568654439,0.343912811126408,1
"Acad11",0.116,0.088,0.096,0.121,-0.558241106042676,0.272888532254348,1,-0.332395882800712,0.423804134245221,1,-0.153139964842262,0.875075558947354,1
"Acad12",0.004,0,0,0.003,-0.857801387901584,0.343068417052909,1,-1.17627668088343,0.289325957245647,1,-0.482447590095222,0.81375649331506,1
"Acad8",0.177,0.159,0.131,0.163,-0.11559914536923,0.614783860404653,1,-0.565318971629329,0.111137865153373,1,-0.155282846841712,0.64461416847655,1
"Acad9",0.065,0.064,0.089,0.088,0.142198612098416,0.973743910550736,1,0.482686401281503,0.265100507831597,1,0.439549897903505,0.276430371569001,1
"Acadl",0,0,0.003,0.01,0.142198612098417,1,1,0.823723319116571,0.348583828675758,1,2.32490733196238,0.0901975366755424,1
"Acadm",0.058,0.064,0.118,0.093,0.142198612098416,0.774321930088465,1,0.82372331911657,0.0116189822349519,1,0.591552991348555,0.0979476831481404,1
