Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
233280,1.0,1,0,0
217430,1.0,1,0,0
56050,1.0,1,0,0
53619,1.0,1,0,0
69080,1.0,1,0,0
117198,1.0,1,0,0
66194,1.0,1,0,0
225020,1.0,1,0,0
16529,1.0,1,0,0
217310,1.0,1,0,0
14453,1.0,1,0,0
75691,1.0,1,0,0
328977,1.0,1,0,0
215751,1.0,1,0,0
74775,1.0,1,0,0
56434,1.0,1,0,0
102657,1.0,1,0,0
67220,1.0,1,0,0
67122,1.0,1,0,0
66569,1.0,1,0,0
228911,1.0,1,0,0
268395,1.0,1,0,0
