_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,GO:0150115,cell-substrate junction organization,M1,1,0
1,-4.4,GO:0022900,electron transport chain,M1,1,0
1,-5.1,GO:0051603,proteolysis involved in protein catabolic process,M1,1,0
1,-3.6,GO:0042773,ATP synthesis coupled electron transport,M1,1,0
1,-2.7,R-MMU-5673000,RAF activation,M1,1,0
1,-10,R-MMU-5621481,C-type lectin receptors (CLRs),M1,1,0
1,-2.3,GO:1901875,positive regulation of post-translational protein modification,M1,1,0
1,-11,R-MMU-75815,Ubiquitin-dependent degradation of Cyclin D,M1,1,0
1,-9.8,R-MMU-69580,p53-Dependent G1/S DNA damage checkpoint,M1,1,0
1,-7.2,R-MMU-69242,S Phase,M1,1,0
1,-2.4,GO:0046434,organophosphate catabolic process,M1,1,0
1,-2.5,mmu04068,FoxO signaling pathway - Mus musculus (house mouse),M1,1,0
1,-6.3,R-MMU-5689880,Ub-specific processing proteases,M1,1,0
1,-2.5,GO:0060249,anatomical structure homeostasis,M1,1,0
1,-4,R-MMU-382551,Transport of small molecules,M1,1,0
1,-7.5,mmu05014,Amyotrophic lateral sclerosis - Mus musculus (house mouse),M1,1,0
1,-3.6,R-MMU-446353,Cell-extracellular matrix interactions,M1,1,0
1,-9.9,R-MMU-187577,SCF(Skp2)-mediated degradation of p27/p21,M1,1,0
1,-2.9,R-MMU-373760,L1CAM interactions,M1,1,0
1,-11,R-MMU-5676590,NIK-->noncanonical NF-kB signaling,M1,1,0
1,-7.8,R-MMU-69306,DNA Replication,M1,1,0
