"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6"
"Ndufa8",0.21934517064258,0.361849067922302,0.00822320443582858,0.995078741273058,-0.23977085990107,0.15215683276644,-0.179833944799342,0.172125974904165,-0.0076079120846817,0.950289236833891,0.238652099493497,0.278400547810489
"Ndufaf2",-0.0417285428678951,0.980349712995131,0.0161958919377069,0.977374707066814,0.0381155943942366,0.743107357470642,0.0340568942718913,0.592779366949757,-0.095505652885817,0.0370759285813948,0.0645052855452655,0.50376423006833
"Ndufaf6",-0.0541767862300492,0.999455473488465,-0.024593920690769,0.977374707066814,-0.00823039007674255,0.981900583799296,0.137084292038972,0.309956107770692,-0.213691833098471,0.0517004779197155,0.211892702774078,0.326908225673986
"Ndufaf8",0.0574342974435724,0.732101320698776,-0.0132469624306669,0.977374707066814,-0.094525840858429,0.17174036187674,-0.0570543477404918,0.309956107770692,0.0374838968323246,0.411175773629213,0.0820126135335922,0.359377810530585
"Ndufb1-ps",0.297125752019984,0.343825159577817,-0.123037501082096,0.972599774869665,-0.296607786168212,0.183694637141822,-0.326321236651407,0.0498597996254542,0.309745385207503,0.0245871895826177,0.147727476195582,0.620798369010814
"Ndufb10",0.340998565945933,0.408173712849504,0.0283486749012489,0.977374707066814,-0.382500175537701,0.15496672256568,-0.385265959916857,0.0601067476169256,0.0822004006484764,0.66169643756397,0.371458281678607,0.293011061390291
"Ndufb11",0.571410817991837,0.408809985783906,-0.138734990806831,0.977374707066814,-0.65592076386577,0.146322606544891,-0.901735645376618,0.00819761370935293,0.655326973552194,0.0237808618622877,0.520774572159398,0.365672302799854
"Ndufb8",0.533839751029106,0.251670771085733,-0.119030117021049,0.977374707066814,-0.539542931931232,0.0925203587895423,-0.396512426039451,0.106032667253285,0.422389924307929,0.0377478215000978,0.0917338176779374,0.872179393613235
"Ndufb9",0.448359673451671,0.383257453055732,-0.1601659564539,0.977374707066814,-0.537840640168469,0.124602605234929,-0.219829704160809,0.446560482159454,0.410061044336619,0.0674328105795115,0.048695268383617,0.946651317366086
"Ndufc1",0.180149695916033,0.674187738274718,-0.0918309599046181,0.977374707066814,-0.164729183768788,0.532855674643282,0.0573579276671996,0.740162737216429,0.185872665017641,0.144577504216548,-0.209918701867221,0.402251779809025
"Ndufs8",0.157227904843943,0.779047209435369,0.0341332669456865,0.977374707066814,-0.260697288788662,0.217871766230848,-0.0668493289796661,0.701786078427401,0.0451501064125768,0.74608704791204,0.106870408796091,0.710987929117027
"Ndufv3",0.32425894505249,0.500814249398121,-0.202215322439445,0.972599774869665,-0.490263045211587,0.0783174190089697,-0.252932890730061,0.257926117904714,0.270358363044839,0.134531994060054,0.408961344947602,0.258371422518468
