_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.8,GO:0045766,positive regulation of angiogenesis,M1,1,0
1,-4.6,GO:0006693,prostaglandin metabolic process,M1,1,0
1,-3,GO:0035148,tube formation,M1,1,0
1,-3.4,GO:0033688,regulation of osteoblast proliferation,M1,1,0
1,-2.5,GO:0043068,positive regulation of programmed cell death,M1,1,0
1,-3.3,GO:0010466,negative regulation of peptidase activity,M1,1,0
1,-3.8,GO:0010975,regulation of neuron projection development,M1,1,0
1,-2.1,GO:0048754,branching morphogenesis of an epithelial tube,M1,1,0
1,-2.6,GO:0002685,regulation of leukocyte migration,M1,1,0
1,-2.2,GO:1900024,regulation of substrate adhesion-dependent cell spreading,M1,1,0
1,-3.1,R-MMU-2132295,MHC class II antigen presentation,M1,1,0
1,-2.1,R-MMU-9696273,RND1 GTPase cycle,M1,1,0
1,-4.9,GO:0098657,import into cell,M1,1,0
1,-7.5,GO:0061024,membrane organization,M1,1,0
1,-6.9,GO:1902992,negative regulation of amyloid precursor protein catabolic process,M1,1,0
1,-2.2,GO:0044088,regulation of vacuole organization,M1,1,0
1,-3.5,GO:0043588,skin development,M1,1,0
1,-2.2,GO:0016486,peptide hormone processing,M1,1,0
1,-2.1,GO:0010226,response to lithium ion,M1,1,0
1,-2.4,GO:0043549,regulation of kinase activity,M1,1,0
1,-2,GO:0048863,stem cell differentiation,M1,1,0
1,-4.7,R-MMU-2262752,Cellular responses to stress,M1,1,0
1,-2.9,GO:0010594,regulation of endothelial cell migration,M1,1,0
1,-8.2,GO:0009144,purine nucleoside triphosphate metabolic process,M1,1,0
1,-3.8,GO:0008544,epidermis development,M1,1,0
1,-3.7,GO:0006873,intracellular monoatomic ion homeostasis,M1,1,0
1,-2.7,GO:0001942,hair follicle development,M1,1,0
1,-2.9,GO:0098662,inorganic cation transmembrane transport,M1,1,0
1,-2.7,GO:0032835,glomerulus development,M1,1,0
1,-2.2,GO:0045667,regulation of osteoblast differentiation,M1,1,0
1,-6.6,GO:2001233,regulation of apoptotic signaling pathway,M1,1,0
1,-2.6,GO:0032680,regulation of tumor necrosis factor production,M1,1,0
1,-6.2,R-MMU-109582,Hemostasis,M1,1,0
1,-2.8,GO:0046949,fatty-acyl-CoA biosynthetic process,M1,1,0
1,-3.2,GO:0000038,very long-chain fatty acid metabolic process,M1,1,0
1,-3.1,GO:0072329,monocarboxylic acid catabolic process,M1,1,0
1,-3.3,GO:0006605,protein targeting,M1,1,0
1,-4.5,GO:0072595,maintenance of protein localization in organelle,M1,1,0
1,-4.3,GO:0030900,forebrain development,M1,1,0
1,-3,GO:0061615,glycolytic process through fructose-6-phosphate,M1,1,0
1,-2.7,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-2.1,GO:0010719,negative regulation of epithelial to mesenchymal transition,M1,1,0
1,-2.5,GO:0007588,excretion,M1,1,0
1,-3.5,GO:0061138,morphogenesis of a branching epithelium,M1,1,0
1,-5.1,R-MMU-199977,ER to Golgi Anterograde Transport,M1,1,0
1,-2.6,GO:1903573,negative regulation of response to endoplasmic reticulum stress,M1,1,0
1,-2.2,GO:0032868,response to insulin,M1,1,0
1,-3.4,mmu04974,Protein digestion and absorption - Mus musculus (house mouse),M1,1,0
1,-3,GO:0060348,bone development,M1,1,0
1,-4,R-MMU-8957275,Post-translational protein phosphorylation,M1,1,0
1,-2.3,WP193,Hepatocyte growth factor receptor signaling,M1,1,0
1,-3.5,GO:0042060,wound healing,M1,1,0
1,-2.4,GO:2000737,negative regulation of stem cell differentiation,M1,1,0
1,-2.3,GO:0032535,regulation of cellular component size,M1,1,0
1,-2.3,GO:0001977,renal system process involved in regulation of blood volume,M1,1,0
1,-5.7,GO:0033559,unsaturated fatty acid metabolic process,M1,1,0
1,-2.4,GO:0003382,epithelial cell morphogenesis,M1,1,0
1,-2.9,GO:0071635,negative regulation of transforming growth factor beta production,M1,1,0
1,-2.5,R-MMU-166520,Signaling by NTRKs,M1,1,0
1,-4.5,GO:0030514,negative regulation of BMP signaling pathway,M1,1,0
1,-2.8,mmu00513,Various types of N-glycan biosynthesis - Mus musculus (house mouse),M1,1,0
1,-2.3,GO:0060441,epithelial tube branching involved in lung morphogenesis,M1,1,0
1,-2.3,GO:0021543,pallium development,M1,1,0
1,-2.7,GO:0040008,regulation of growth,M1,1,0
1,-4.3,GO:0033365,protein localization to organelle,M1,1,0
1,-2.2,GO:1901381,positive regulation of potassium ion transmembrane transport,M1,1,0
1,-3.5,GO:0071677,positive regulation of mononuclear cell migration,M1,1,0
1,-16,GO:0006119,oxidative phosphorylation,M1,1,0
1,-2.2,GO:0007601,visual perception,M1,1,0
1,-3.7,GO:0080164,regulation of nitric oxide metabolic process,M1,1,0
1,-5.5,GO:1902904,negative regulation of supramolecular fiber organization,M1,1,0
1,-3.6,GO:0048608,reproductive structure development,M1,1,0
1,-3.8,GO:1903895,negative regulation of IRE1-mediated unfolded protein response,M1,1,0
1,-3.8,GO:1905330,regulation of morphogenesis of an epithelium,M1,1,0
1,-2.9,GO:0034284,response to monosaccharide,M1,1,0
1,-2.1,GO:0110020,regulation of actomyosin structure organization,M1,1,0
1,-2.2,GO:1900102,negative regulation of endoplasmic reticulum unfolded protein response,M1,1,0
1,-2.8,GO:0009611,response to wounding,M1,1,0
1,-6.2,R-MMU-6799198,Complex I biogenesis,M1,1,0
1,-5.2,GO:0006631,fatty acid metabolic process,M1,1,0
1,-2.5,GO:0009743,response to carbohydrate,M1,1,0
1,-4.4,GO:0050767,regulation of neurogenesis,M1,1,0
1,-2.1,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-2.7,GO:0050817,coagulation,M1,1,0
1,-3,GO:0032781,positive regulation of ATP-dependent activity,M1,1,0
1,-5.1,GO:0043062,extracellular structure organization,M1,1,0
1,-3.2,GO:0048193,Golgi vesicle transport,M1,1,0
1,-2.4,GO:0060008,Sertoli cell differentiation,M1,1,0
1,-2.3,GO:0048762,mesenchymal cell differentiation,M1,1,0
1,-2.2,GO:0072164,mesonephric tubule development,M1,1,0
1,-3.5,GO:0031667,response to nutrient levels,M1,1,0
1,-3.9,GO:0031099,regeneration,M1,1,0
1,-2.3,GO:0055075,potassium ion homeostasis,M1,1,0
1,-2.6,mmu05230,Central carbon metabolism in cancer - Mus musculus (house mouse),M1,1,0
1,-4.3,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,M1,1,0
1,-2.6,GO:0003093,regulation of glomerular filtration,M1,1,0
1,-3.8,GO:0007029,endoplasmic reticulum organization,M1,1,0
1,-4.5,GO:0030162,regulation of proteolysis,M1,1,0
1,-13,mmu05415,Diabetic cardiomyopathy - Mus musculus (house mouse),M1,1,0
1,-3,GO:0051145,smooth muscle cell differentiation,M1,1,0
1,-2.2,GO:0072163,mesonephric epithelium development,M1,1,0
1,-3.8,R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),M1,1,0
1,-2,GO:0055078,sodium ion homeostasis,M1,1,0
1,-2.5,GO:0006465,signal peptide processing,M1,1,0
1,-6.7,GO:0006457,protein folding,M1,1,0
1,-2.4,GO:0090209,negative regulation of triglyceride metabolic process,M1,1,0
1,-13,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0042886,amide transport,M1,1,0
1,-2.2,GO:0035886,vascular associated smooth muscle cell differentiation,M1,1,0
1,-2.4,GO:0009100,glycoprotein metabolic process,M1,1,0
1,-2.3,GO:0097094,craniofacial suture morphogenesis,M1,1,0
1,-3.6,GO:0016050,vesicle organization,M1,1,0
1,-4,GO:0045732,positive regulation of protein catabolic process,M1,1,0
1,-4,GO:0061458,reproductive system development,M1,1,0
1,-12,mmu05014,Amyotrophic lateral sclerosis - Mus musculus (house mouse),M1,1,0
1,-7.8,R-MMU-6798695,Neutrophil degranulation,M1,1,0
1,-3.2,GO:0090090,negative regulation of canonical Wnt signaling pathway,M1,1,0
1,-2.7,GO:1903672,positive regulation of sprouting angiogenesis,M1,1,0
1,-3.9,mmu04918,Thyroid hormone synthesis - Mus musculus (house mouse),M1,1,0
1,-3.2,R-MMU-983712,Ion channel transport,M1,1,0
1,-2,R-MMU-3371571,HSF1-dependent transactivation,M1,1,0
1,-14,GO:0006091,generation of precursor metabolites and energy,M1,1,0
1,-3.6,GO:0060449,bud elongation involved in lung branching,M1,1,0
1,-2.2,GO:0007423,sensory organ development,M1,1,0
1,-5.3,R-MMU-9012999,RHO GTPase cycle,M1,1,0
1,-6.5,R-MMU-8953897,Cellular responses to stimuli,M1,1,0
1,-2.5,GO:0030178,negative regulation of Wnt signaling pathway,M1,1,0
1,-3.6,GO:0034625,"fatty acid elongation, monounsaturated fatty acid",M1,1,0
1,-2.4,GO:1902106,negative regulation of leukocyte differentiation,M1,1,0
1,-2.4,R-MMU-5694530,Cargo concentration in the ER,M1,1,0
1,-4.5,GO:0031333,negative regulation of protein-containing complex assembly,M1,1,0
1,-2.6,GO:0002521,leukocyte differentiation,M1,1,0
