"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6","logFC_7","adj.P.Val_7"
"Acrbp",0.0836739930775426,0.998454033907698,0.000135684289367277,0.999215727032816,0.183691030909978,0.160741533546054,-0.0594053150126306,0.929800898745576,-0.0462026939065789,0.784883247139549,-0.376452122453632,4.60773396062172e-06,0.347069183252643,0.0129759005584006
"Acsl3",-0.0485557501503943,0.998454033907698,-0.083460343334334,0.999215727032816,-0.119482994183058,0.515636550015804,0.227001440961916,0.232875681046446,0.241995456023368,0.16695812631389,-0.352129678521246,0.000678224961854723,0.21210077266328,0.26550843124472
"Acsl4",0.00154654280520139,0.998454033907698,0.00916221060169287,0.999215727032816,-0.00375284555959399,0.965648938967959,0.0128455958733547,0.99429389708379,0.0739672640292444,0.227262799248221,-0.0942108193903424,0.0168570521816623,-0.0125386011456147,0.865653733327208
"Actl6b",0.0528678292091885,0.998454033907698,-0.0942860077892803,0.999215727032816,-0.0229962591227175,0.845318941570272,-0.0614667596907021,0.754071694524925,0.176873809423539,0.0422491726446416,-0.157330351061502,0.00920633693328052,0.175991910482519,0.053090103091627
"Actn1",0.0396926894825612,0.998454033907698,-0.042645154678802,0.999215727032816,-0.0193710286291034,0.861311699298606,0.059499376428568,0.753716953841004,0.0655907818069348,0.488990164172298,-0.0894741387762822,0.104954050877409,-0.0371763402402352,0.73275401271461
"Actr3b",-0.0154995618503608,0.998454033907698,-0.0322584431678285,0.999215727032816,-0.0111467424069133,0.886198652504586,0.0629371630489933,0.411153592821382,0.085697105748956,0.155616226249393,-0.0726151389620115,0.0741900354710782,-0.0373475562715828,0.586858783758175
"Acvr2b",0.0978496594666306,0.998454033907698,-0.105663569440663,0.999215727032816,-0.123533630932391,0.637028144257865,0.00224647772524744,0.996357979649697,0.243948533427474,0.316711651352348,-0.48415352263825,0.000751778047343959,0.614642125513727,0.00705154826817192
"Acyp2",0.0109655379113584,0.998454033907698,-0.0394478477093488,0.999215727032816,0.000572654445891385,0.990863951209368,0.0420393408811215,0.333131933304758,-0.0333373290296557,0.394465887454594,0.0170887868514396,0.506370813983013,0.00869166240402941,0.849316289948074
"Adam17",-0.0825660424816839,0.998454033907698,0.0612920331662165,0.999215727032816,0.109280824065578,0.417496452003335,-0.0309892328972198,0.99429389708379,0.177906498420567,0.176927839706478,-0.348881899761047,2.73025280474546e-06,0.172077338441614,0.220623175913997
"Adam1a",-0.0392309578491747,0.998454033907698,-0.0246513325758604,0.999215727032816,0.182482148826721,0.254539012360659,-0.0816855229456703,0.882256789212255,-0.0190296646348849,0.934813710747787,-0.329603808502574,0.00186790092846564,0.546255477852544,0.000157497696165396
"Adam4",-0.00359452140263161,0.998454033907698,-0.00712272521050594,0.999215727032816,0.144378588261908,0.0922476313213782,-0.0416164082462227,0.928000639930271,0.029456634131561,0.799882150229653,-0.244861059227062,2.74802392500021e-05,0.202290158468677,0.0342388847852892
"Adam9",0.0659605595018696,0.998454033907698,-0.292879703036855,0.999215727032816,-0.0898252567587999,0.67173495157905,0.269378019399645,0.205400939359996,0.014992632858652,0.964094609103387,0.0941257169830156,0.425697793209509,-0.0871734971917204,0.7218733762779
"Adamts3",0.02420065073703,0.998454033907698,0.142982120403071,0.999215727032816,0.574155607662897,0.250763831670898,-0.198159718305452,0.949948501611576,0.398631991780548,0.468116014620761,-1.59488278254213,1.29146871497987e-09,1.00737640879265,0.0536227203159094
"Adamtsl4",0.0354987328977991,0.998454033907698,-0.0180176833057809,0.999215727032816,0.032235665102769,0.496629783611648,0.0205795522159636,0.907559012004688,-0.01490849770481,0.781240477416973,-0.0211327112955975,0.514705597286582,-0.0668201204630728,0.158543089688015
"Adat1",0.0241291857033612,0.998454033907698,-0.00727457760278488,0.999215727032816,0.052385831454632,0.574275097301246,-0.0687744497466058,0.626558100764425,0.00875471802724787,0.944895574683442,-0.169717874727116,0.00205521604601655,0.274718267703781,0.000265740950037548
"Adat2",-0.00185404201673434,0.998454033907698,-0.0209922925205506,0.999215727032816,-0.0193684021378404,0.855689287436835,0.0382731794780371,0.907073354848468,0.080771056665708,0.352722778803811,-0.191157478918553,0.000142040428642156,0.188283553416679,0.0217049129705519
