_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.6,GO:0050810,regulation of steroid biosynthetic process,M1,1,0
1,-2.5,GO:0046326,positive regulation of D-glucose import,M1,1,0
1,-2.2,GO:0019319,hexose biosynthetic process,M1,1,0
1,-3.6,GO:0045937,positive regulation of phosphate metabolic process,M1,1,0
1,-4.4,GO:0009134,nucleoside diphosphate catabolic process,M1,1,0
1,-5.9,GO:0010594,regulation of endothelial cell migration,M1,1,0
1,-4.5,GO:0072526,pyridine-containing compound catabolic process,M1,1,0
1,-2.1,GO:0032355,response to estradiol,M1,1,0
1,-2.7,GO:0040011,locomotion,M1,1,0
1,-2.6,GO:0098660,inorganic ion transmembrane transport,M1,1,0
1,-3.2,GO:0006873,intracellular monoatomic ion homeostasis,M1,1,0
1,-3.6,GO:0061615,glycolytic process through fructose-6-phosphate,M1,1,0
1,-3.4,GO:1902991,regulation of amyloid precursor protein catabolic process,M1,1,0
1,-3.4,GO:0030003,intracellular monoatomic cation homeostasis,M1,1,0
1,-2.6,GO:0051961,negative regulation of nervous system development,M1,1,0
1,-2.6,mmu05225,Hepatocellular carcinoma - Mus musculus (house mouse),M1,1,0
1,-2.6,GO:0099587,inorganic ion import across plasma membrane,M1,1,0
1,-3.9,GO:0072524,pyridine-containing compound metabolic process,M1,1,0
1,-4.8,GO:1901890,positive regulation of cell junction assembly,M1,1,0
1,-4,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-2.2,GO:0045429,positive regulation of nitric oxide biosynthetic process,M1,1,0
1,-2,GO:0055074,calcium ion homeostasis,M1,1,0
1,-2.5,R-MMU-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",M1,1,0
1,-3.5,GO:0019320,hexose catabolic process,M1,1,0
1,-2.1,GO:0051894,positive regulation of focal adhesion assembly,M1,1,0
1,-2,GO:0001763,morphogenesis of a branching structure,M1,1,0
1,-3.2,GO:0042326,negative regulation of phosphorylation,M1,1,0
1,-2,GO:0007409,axonogenesis,M1,1,0
1,-4.7,GO:0019364,pyridine nucleotide catabolic process,M1,1,0
1,-4.1,GO:0032102,negative regulation of response to external stimulus,M1,1,0
1,-2.8,WP578,Leptin insulin signaling overlap,M1,1,0
1,-3.4,GO:0099177,regulation of trans-synaptic signaling,M1,1,0
1,-2.9,GO:0090066,regulation of anatomical structure size,M1,1,0
1,-2.1,GO:0055123,digestive system development,M1,1,0
1,-3,GO:0050673,epithelial cell proliferation,M1,1,0
1,-3.2,GO:0009395,phospholipid catabolic process,M1,1,0
1,-2.3,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,M1,1,0
1,-3,GO:0051954,positive regulation of amine transport,M1,1,0
1,-2.8,GO:0022604,regulation of cell morphogenesis,M1,1,0
1,-3.2,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-2.1,GO:0034109,homotypic cell-cell adhesion,M1,1,0
1,-3.8,GO:1902904,negative regulation of supramolecular fiber organization,M1,1,0
1,-4.9,R-MMU-70263,Gluconeogenesis,M1,1,0
1,-4.1,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),M1,1,0
1,-5.6,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,M1,1,0
1,-3.2,GO:0061035,regulation of cartilage development,M1,1,0
1,-2.5,R-MMU-6783589,Interleukin-6 family signaling,M1,1,0
1,-3,GO:0032291,axon ensheathment in central nervous system,M1,1,0
1,-2.2,GO:0032868,response to insulin,M1,1,0
1,-6.8,GO:0006090,pyruvate metabolic process,M1,1,0
1,-3.3,GO:1901678,iron coordination entity transport,M1,1,0
1,-4.6,GO:1903975,regulation of glial cell migration,M1,1,0
1,-2.4,R-MMU-199418,Negative regulation of the PI3K/AKT network,M1,1,0
1,-4.3,GO:0050772,positive regulation of axonogenesis,M1,1,0
1,-3.3,mmu04510,Focal adhesion - Mus musculus (house mouse),M1,1,0
1,-4.1,GO:2000146,negative regulation of cell motility,M1,1,0
1,-4.6,GO:0014013,regulation of gliogenesis,M1,1,0
1,-2.6,R-MMU-446728,Cell junction organization,M1,1,0
1,-3.6,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-5.9,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,M1,1,0
1,-2.6,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-2.3,GO:0006094,gluconeogenesis,M1,1,0
1,-5.3,GO:0061387,regulation of extent of cell growth,M1,1,0
1,-3.3,R-MMU-1475029,Reversible hydration of carbon dioxide,M1,1,0
1,-5,GO:0015800,acidic amino acid transport,M1,1,0
1,-6,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.2,GO:0050926,regulation of positive chemotaxis,M1,1,0
1,-3,GO:1904018,positive regulation of vasculature development,M1,1,0
1,-2,GO:0007173,epidermal growth factor receptor signaling pathway,M1,1,0
1,-2.8,GO:0015670,carbon dioxide transport,M1,1,0
1,-7.9,GO:0001944,vasculature development,M1,1,0
1,-2.8,GO:0043405,regulation of MAP kinase activity,M1,1,0
1,-2.1,WP3675,Factors and pathways affecting insulin like growth factor IGF1 Akt signaling,M1,1,0
1,-3.2,GO:0007519,skeletal muscle tissue development,M1,1,0
1,-4.6,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.5,GO:1901292,nucleoside phosphate catabolic process,M1,1,0
1,-4.4,GO:0050803,regulation of synapse structure or activity,M1,1,0
1,-4.7,GO:0046434,organophosphate catabolic process,M1,1,0
1,-4.5,GO:0007626,locomotory behavior,M1,1,0
1,-11,GO:2000147,positive regulation of cell motility,M1,1,0
1,-5.3,R-MMU-9675108,Nervous system development,M1,1,0
1,-2.1,GO:0045732,positive regulation of protein catabolic process,M1,1,0
1,-2.8,GO:0072523,purine-containing compound catabolic process,M1,1,0
1,-2.4,GO:0043114,regulation of vascular permeability,M1,1,0
1,-4.2,GO:0046496,nicotinamide nucleotide metabolic process,M1,1,0
1,-3.6,GO:0010562,positive regulation of phosphorus metabolic process,M1,1,0
1,-2.2,GO:0007272,ensheathment of neurons,M1,1,0
1,-2.2,GO:0034369,plasma lipoprotein particle remodeling,M1,1,0
1,-2.1,GO:0046486,glycerolipid metabolic process,M1,1,0
1,-2.2,GO:0070875,positive regulation of glycogen metabolic process,M1,1,0
1,-4.5,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-2.9,mmu00051,Fructose and mannose metabolism - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0048592,eye morphogenesis,M1,1,0
1,-2.2,GO:0060416,response to growth hormone,M1,1,0
1,-3.1,R-MMU-8957275,Post-translational protein phosphorylation,M1,1,0
1,-3.8,GO:1901342,regulation of vasculature development,M1,1,0
1,-2.6,GO:0042391,regulation of membrane potential,M1,1,0
1,-2.6,GO:0099054,presynapse assembly,M1,1,0
1,-2.1,GO:0048713,regulation of oligodendrocyte differentiation,M1,1,0
1,-3.9,GO:0006734,NADH metabolic process,M1,1,0
1,-12,GO:0030335,positive regulation of cell migration,M1,1,0
1,-2.1,GO:0046885,regulation of hormone biosynthetic process,M1,1,0
1,-2,GO:0031116,positive regulation of microtubule polymerization,M1,1,0
1,-2.3,GO:0061383,trabecula morphogenesis,M1,1,0
1,-3.3,GO:0030029,actin filament-based process,M1,1,0
1,-3.6,GO:0098771,inorganic ion homeostasis,M1,1,0
1,-3,GO:0170034,L-amino acid biosynthetic process,M1,1,0
1,-2.2,GO:0055001,muscle cell development,M1,1,0
1,-2.6,GO:0042330,taxis,M1,1,0
1,-2.5,GO:0061377,mammary gland lobule development,M1,1,0
1,-2.3,GO:0001936,regulation of endothelial cell proliferation,M1,1,0
1,-2.9,GO:0036293,response to decreased oxygen levels,M1,1,0
1,-3.3,GO:0005996,monosaccharide metabolic process,M1,1,0
1,-3.2,GO:0007517,muscle organ development,M1,1,0
1,-3.1,GO:0031345,negative regulation of cell projection organization,M1,1,0
1,-4.5,GO:0050807,regulation of synapse organization,M1,1,0
1,-3.4,GO:0050804,modulation of chemical synaptic transmission,M1,1,0
1,-2.2,GO:0150052,regulation of postsynapse assembly,M1,1,0
1,-2,GO:0043536,positive regulation of blood vessel endothelial cell migration,M1,1,0
1,-4.2,R-MMU-109582,Hemostasis,M1,1,0
1,-2.1,GO:0036315,cellular response to sterol,M1,1,0
1,-3.3,GO:0006195,purine nucleotide catabolic process,M1,1,0
1,-5.9,R-MMU-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M1,1,0
1,-2.9,GO:0043279,response to alkaloid,M1,1,0
1,-2.3,GO:0032970,regulation of actin filament-based process,M1,1,0
1,-3.8,mmu04960,Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse),M1,1,0
1,-3.1,GO:0014706,striated muscle tissue development,M1,1,0
1,-4.1,R-MMU-420597,Nectin/Necl  trans heterodimerization,M1,1,0
1,-3.6,GO:0045862,positive regulation of proteolysis,M1,1,0
1,-3.4,GO:1900147,regulation of Schwann cell migration,M1,1,0
1,-3.8,GO:0019674,NAD metabolic process,M1,1,0
1,-2.5,GO:0045649,regulation of macrophage differentiation,M1,1,0
1,-4.7,GO:0070570,regulation of neuron projection regeneration,M1,1,0
