Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,mmu04724,Glutamatergic synapse - Mus musculus (house mouse),,-4.1,5,5.4,21160,116,330,9,2.7,0.9,14645|14688|14693|14695|14699|18798|22063|72961|76257,Glul|Gnb1|Gnb2|Gnb3|Gngt1|Plcb4|Trpc1|Slc17a7|Slc38a3,-1.7,hits
GO Biological Processes,19,GO:0009154,purine ribonucleotide catabolic process,19_GO:0009987 cellular process,-4,5.6,5.5,21160,92,330,8,2.4,0.85,15275|15277|17425|18640|18641|21991|23959|56421,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Nt5e|Pfkp,-1.6,hits
Reactome Gene Sets,6,R-MMU-70326,Glucose metabolism,,-4,6.5,5.8,21160,69,330,7,2.1,0.79,15275|15277|18640|18641|19386|21991|56421,Hk1|Hk2|Pfkfb2|Pfkl|Ranbp2|Tpi1|Pfkp,-1.6,hits
Reactome Gene Sets,6,R-MMU-418597,G alpha (z) signalling events,,-4,10,6.6,21160,31,330,5,1.5,0.67,14688|14693|14695|14699|58175,Gnb1|Gnb2|Gnb3|Gngt1|Rgs20,-1.6,hits
GO Biological Processes,19,GO:0007602,phototransduction,19_GO:0050896 response to stimulus,-4,10,6.6,21160,31,330,5,1.5,0.67,14685|14688|14699|14913|107477,Gnat1|Gnb1|Gngt1|Guca1a|Guca1b,-1.6,hits
Reactome Gene Sets,6,R-MMU-381676,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,,-4,10,6.6,21160,31,330,5,1.5,0.67,14688|14693|14695|14699|16500,Gnb1|Gnb2|Gnb3|Gngt1|Kcnb1,-1.6,hits
GO Biological Processes,19,GO:0055082,intracellular chemical homeostasis,19_GO:0042592 homeostatic process,-3.9,2.4,4.4,21160,619,330,23,7,1.4,11928|12296|12709|13615|14645|15275|15277|16500|17425|18708|19275|20393|20530|22063|53416|54652|68585|76257|94220|108058|109676|217166|277973,Atp1a1|Cacnb2|Ckb|Edn2|Glul|Hk1|Hk2|Kcnb1|Foxk1|Pik3r1|Ptprn|Sgk1|Slc31a2|Trpc1|Stk39|Cacna1f|Rtn4|Slc38a3|Cnnm4|Camk2d|Ank2|Nr1d1|Slc9a5,-1.6,hits
GO Biological Processes,19,GO:1903546,protein localization to photoreceptor outer segment,19_GO:0051179 localization,-3.9,27,8.8,21160,7,330,3,0.91,0.52,19881|22157|225004,Rom1|Tulp1|Pcare,-1.6,hits
GO Biological Processes,19,GO:0016052,carbohydrate catabolic process,19_GO:0009987 cellular process,-3.8,4.7,5.1,21160,124,330,9,2.7,0.9,15275|15277|17425|18640|18641|21991|56421|71755|244757,Hk1|Hk2|Foxk1|Pfkfb2|Pfkl|Tpi1|Pfkp|Dhdh|Glb1l2,-1.5,hits
GO Biological Processes,19,GO:0009642,response to light intensity,19_GO:0050896 response to stimulus,-3.8,14,7.1,21160,18,330,4,1.2,0.6,14685|19133|19739|76123,Gnat1|Prph2|Rgs9|Gpsm2,-1.5,hits
Reactome Gene Sets,6,R-MMU-8964315,G beta:gamma signalling through BTK,,-3.8,14,7.1,21160,18,330,4,1.2,0.6,14688|14693|14695|14699,Gnb1|Gnb2|Gnb3|Gngt1,-1.5,hits
