Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,KEGG Pathway,24,mmu05203,Viral carcinogenesis - Mus musculus (house mouse),,-2.6,6.9,4.5,21160,228,54,4,7.4,3.6,11911|16451|18709|20807,Atf4|Jak1|Pik3r2|Srf,-0.5
hits,KEGG Pathway,24,mmu05145,Toxoplasmosis - Mus musculus (house mouse),,-2.6,11,5.2,21160,109,54,3,5.6,3.1,15511|16451|193740,Hspa1b|Jak1|Hspa1a,-0.5
hits,GO Biological Processes,19,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,19_GO:0048519 negative regulation of biological process,-2.6,11,5.2,21160,110,54,3,5.6,3.1,11911|14173|70369,Atf4|Fgf2|Bag5,-0.5
hits,GO Biological Processes,19,GO:0051493,regulation of cytoskeleton organization,19_GO:0050789 regulation of biological process,-2.5,4.2,3.9,21160,557,54,6,11,4.3,15511|18148|18637|18709|76884|193740,Hspa1b|Npm1|Pfdn2|Pik3r2|Cyfip2|Hspa1a,-0.49
hits,GO Biological Processes,19,GO:1903050,regulation of proteolysis involved in protein catabolic process,19_GO:0050789 regulation of biological process,-2.5,6.7,4.4,21160,234,54,4,7.4,3.6,15511|15516|70369|193740,Hspa1b|Hsp90ab1|Bag5|Hspa1a,-0.47
hits,KEGG Pathway,24,mmu04725,Cholinergic synapse - Mus musculus (house mouse),,-2.5,10,5.1,21160,113,54,3,5.6,3.1,11911|14695|18709,Atf4|Gnb3|Pik3r2,-0.47
hits,Reactome Gene Sets,6,R-MMU-9012999,RHO GTPase cycle,,-2.5,5,4.1,21160,388,54,5,9.3,3.9,15516|18221|18709|20867|76884,Hsp90ab1|Nudc|Pik3r2|Stip1|Cyfip2,-0.47
hits,KEGG Pathway,24,mmu04014,Ras signaling pathway - Mus musculus (house mouse),,-2.5,6.6,4.4,21160,236,54,4,7.4,3.6,12315|14173|14695|18709,Calm3|Fgf2|Gnb3|Pik3r2,-0.47
hits,KEGG Pathway,24,mmu05010,Alzheimer disease - Mus musculus (house mouse),,-2.5,5,4.1,21160,389,54,5,9.3,3.9,11911|12315|18709|22272|227613,Atf4|Calm3|Pik3r2|Uqcrq|Tubb4b,-0.47
hits,WikiPathways,27,WP339,ESC pluripotency pathways,,-2.5,10,5,21160,117,54,3,5.6,3.1,14173|16451|18709,Fgf2|Jak1|Pik3r2,-0.44
hits,GO Biological Processes,19,GO:0051129,negative regulation of cellular component organization,19_GO:0048519 negative regulation of biological process,-2.5,3.5,3.6,21160,778,54,7,13,4.6,14976|15511|18148|18637|23969|70369|81489,Pfdn6|Hspa1b|Npm1|Pfdn2|Pacsin1|Bag5|Dnajb1,-0.42
hits,GO Biological Processes,19,GO:0006366,transcription by RNA polymerase II,19_GO:0009987 cellular process,-2.5,4.9,4,21160,400,54,5,9.3,3.9,11911|14173|20022|20807|21427,Atf4|Fgf2|Polr2j|Srf|Vps72,-0.42
hits,KEGG Pathway,24,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),,-2.4,6.3,4.3,21160,247,54,4,7.4,3.6,11911|16451|18709|20807,Atf4|Jak1|Pik3r2|Srf,-0.41
hits,KEGG Pathway,24,mmu04722,Neurotrophin signaling pathway - Mus musculus (house mouse),,-2.4,9.7,4.9,21160,121,54,3,5.6,3.1,11911|12315|18709,Atf4|Calm3|Pik3r2,-0.41
hits,GO Biological Processes,19,GO:2001234,negative regulation of apoptotic signaling pathway,19_GO:0048519 negative regulation of biological process,-2.4,6.2,4.2,21160,252,54,4,7.4,3.6,11911|14173|15511|70369,Atf4|Fgf2|Hspa1b|Bag5,-0.39
hits,KEGG Pathway,24,mmu05132,Salmonella infection - Mus musculus (house mouse),,-2.4,6.2,4.2,21160,252,54,4,7.4,3.6,15516|69654|76884|227613,Hsp90ab1|Dctn2|Cyfip2|Tubb4b,-0.39
hits,GO Biological Processes,19,GO:1903320,regulation of protein modification by small protein conjugation or removal,19_GO:0050789 regulation of biological process,-2.4,6.2,4.2,21160,252,54,4,7.4,3.6,15511|15516|18148|70369,Hspa1b|Hsp90ab1|Npm1|Bag5,-0.39
hits,GO Biological Processes,19,GO:0006275,regulation of DNA replication,19_GO:0050789 regulation of biological process,-2.4,9.5,4.8,21160,124,54,3,5.6,3.1,12301|18148|69714,Cacybp|Npm1|Tfpt,-0.39
hits,GO Biological Processes,19,GO:0090066,regulation of anatomical structure size,19_GO:0065007 biological regulation,-2.4,4,3.7,21160,594,54,6,11,4.3,14695|15516|18148|18709|20807|76884,Gnb3|Hsp90ab1|Npm1|Pik3r2|Srf|Cyfip2,-0.39
hits,GO Biological Processes,19,GO:0045926,negative regulation of growth,19_GO:0040007 growth,-2.4,6.2,4.2,21160,253,54,4,7.4,3.6,15511|70925|76500|193740,Hspa1b|Cdkn2aip|Ip6k2|Hspa1a,-0.39
hits,GO Biological Processes,19,GO:0033365,protein localization to organelle,19_GO:0051179 localization,-2.4,3.4,3.5,21160,799,54,7,13,4.6,19341|22608|26356|54170|69654|242785|260302,Rab4a|Ybx1|Ing1|Rragc|Dctn2|Klhl21|Gga3,-0.38
