gene,wt_signed_log_p,ko_signed_log_p
Arrb2,0.27542282188664,0.122198644009364
Calm3,0.273301873322368,-0.391279474338386
Csnk1g2,0.273025019241188,0.947124287100677
Met,0.272206512385779,-0.100236209519704
Pea15a,0.270267559888633,1.01558782291889
Lmcd1,0.264743858031215,0.30194768644734
Nod2,0.264743858031215,-0.692469649763063
Trim12c,0.264298160439583,0.327993190309052
Mmp9,0.26385269270133,0.0698378441973212
Dok5,0.263630045014959,-0.376273555096917
Edn1,0.263157977063686,-0.327993190309052
Sox11,0.263157977063686,-1.50065709482113
Drd1,0.262874646255014,-1.09957805446372
Efna1,0.262863811398257,0.159073565903789
Fgf18,0.262863811398257,-0.0128469058494322
Hgf,0.262863811398257,0.327993190309052
Nox1,0.262863811398257,-0.777364330577808
Ticam2,0.262863811398257,0.327993190309052
Adra2c,0.262569746156301,-0.690333562948914
Nfam1,0.262569746156301,-0.293050043938463
Ank3,0.260201025408227,-0.060184882347994
Daxx,0.259978812849958,1.09436504757813
Tab1,0.259267537515435,-0.0457412261285778
Bmper,0.255475179092575,-0.850248853160496
Smarca4,0.255084004415207,-0.00520582245612365
P2ry1,0.25488976162622,0.158786670944642
Ccar2,0.254860945306022,0.0176236781228653
Fermt2,0.253441058752339,1.28784728373286
Pdcd7,0.253416820569268,1.09440733456994
Nid1,0.2527608205211,-0.372400827861559
Tmem132a,0.25131270129489,0.652406124497557
Bcl2l11,0.247162993213586,-0.569144991684064
Huwe1,0.246466917329837,-0.0419195407343989
Pdia3,0.246295877358557,0.504067451980633
Pdgfa,0.245501659695113,-0.590333133438475
Maoa,0.237493795300196,-0.485614678615158
Ppp2r5d,0.23274726390797,0.0140150245452784
Lrp1,0.232623867729642,-0.727259786788827
Sfpq,0.231493533063405,1.14957095573526
Ppp3r1,0.231104497009757,0.220381779079664
Map4k1,0.228682985836745,0.242211153270913
Nlgn3,0.227070022884534,-0.343695263442089
Trip6,0.224774275643727,0.155382165936924
Sesn2,0.223475052779417,0.100145175424398
Acvr1b,0.222615290664697,-0.132551999395552
Hsp90ab1,0.220124464961134,-1.36718176233506
Pja2,0.218771171706112,-0.289572331989402
Asxl2,0.216536882030313,-0.201755018707954
Slc30a10,0.214631716875263,-1.77951532594553
Raf1,0.21314688857312,0.456596401993995
Rxra,0.212578926057787,-1.92076447018445
Mcl1,0.211330645586152,0.526241066461938
