p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
0,3.3934365566998,0.488,0.043,0,c1,Mlana,0.445,0.21716
0,2.90602072183863,0.542,0.144,0,c1,Fzd4,0.398,0.215716
0,2.97737033559688,0.486,0.044,0,c1,Csf1r,0.442,0.214812
0,3.03853384930861,0.511,0.096,0,c1,Mdk,0.415,0.212065
0,1.50886128353027,0.771,0.497,0,c1,Calm3,0.274,0.211254
0,4.78442575594804,0.482,0.045,0,c1,Fam13a,0.437,0.210634
0,2.50903170792849,0.526,0.13,0,c1,Mgll,0.396,0.208296
0,7.03128093076731,0.46,0.008,0,c1,Cntnap4,0.452,0.20792
0,5.11942929390754,0.469,0.027,0,c1,Perp,0.442,0.207298
0,1.93068510265887,0.568,0.206,0,c1,Itgb5,0.362,0.205616
0,2.24128008154397,0.581,0.231,0,c1,Lrp8,0.35,0.20335
0,2.17578101592494,0.568,0.211,0,c1,Dbi,0.357,0.202776
0,5.50234193065053,0.458,0.02,0,c1,Cpz,0.438,0.200604
0,3.03637186308767,0.496,0.093,0,c1,Thsd7a,0.403,0.199888
0,3.4395713663841,0.485,0.073,0,c1,Metrn,0.412,0.19982
0,3.53800797995986,0.486,0.079,0,c1,Ntrk2,0.407,0.197802
0,3.7502749302151,0.483,0.076,0,c1,Sgk3,0.407,0.196581
0,4.07132095153747,0.464,0.041,0,c1,Fgfr2,0.423,0.196272
0,1.59534530964326,0.723,0.456,0,c1,Ctsa,0.267,0.193041
0,1.2311544049086,0.919,0.709,0,c1,Tspan3,0.21,0.19299
0,1.6030345324314,0.715,0.446,0,c1,Myrip,0.269,0.192335
0,1.60124427677203,0.719,0.454,0,c1,Enpp5,0.265,0.190535
0,3.65594632045735,0.468,0.061,0,c1,Dusp4,0.407,0.190476
0,4.87794171580372,0.448,0.029,0,c1,Prkcq,0.419,0.187712
0,3.25767780378192,0.478,0.094,0,c1,Gprc5b,0.384,0.183552
0,2.32762680663999,0.504,0.14,0,c1,Gabrb3,0.364,0.183456
0,3.5863550384289,0.458,0.067,0,c1,Tgfbr3,0.391,0.179078
0,2.20044962107584,0.492,0.131,0,c1,Vat1l,0.361,0.177612
